sender,messages,mean_words,pos_rate,neg_rate,question_pct,shouting_pct,nongame_pct,channels
dasneakyasian,6,1.67,0.0,0.0,0.0,33.3,0.0,1
iflowiex,29,2.86,48.19,12.05,6.9,3.4,100.0,4
darklightrising,8,2.75,0.0,0.0,0.0,0.0,0.0,1
losetv,23,3.04,42.86,0.0,0.0,4.3,0.0,1
jstev1,8,3.5,0.0,0.0,0.0,0.0,0.0,1
pumptrain,14,4.5,0.0,15.87,14.3,14.3,0.0,1
kensta,6,2.33,0.0,0.0,0.0,16.7,0.0,1
broman,6,16.5,10.1,0.0,16.7,0.0,0.0,1
notoriouscryptic,5,8.2,24.39,0.0,0.0,0.0,0.0,1
am_azing,9,4.44,0.0,0.0,0.0,11.1,0.0,1
seraphimcrypto,5,7.6,0.0,0.0,0.0,20.0,0.0,1
gamerhead,29,3.9,0.0,0.0,3.4,24.1,10.3,2
a_dmg04,21,3.38,0.0,0.0,9.5,23.8,0.0,1
sae_niijima,5,2.2,0.0,0.0,0.0,20.0,0.0,1
boltydestiny,5,6.6,30.3,0.0,20.0,40.0,0.0,1
commandercartmen,25,5.84,6.85,6.85,0.0,20.0,0.0,2
ilulu,6,7.5,44.44,0.0,0.0,33.3,0.0,1
vanguardselite77,5,3.8,105.26,0.0,0.0,20.0,0.0,1
russc2503,5,6,0.0,0.0,0.0,20.0,0.0,1
some_salafiguy,5,8.2,24.39,0.0,0.0,0.0,0.0,1
notheowner,6,1.67,0.0,0.0,0.0,0.0,0.0,2
kennertv,9,5.56,80.0,0.0,22.2,11.1,0.0,1
emboarboy202,5,2.4,0.0,0.0,0.0,0.0,0.0,1
agallon3,8,2.88,0.0,0.0,0.0,0.0,0.0,1
chronodiem1,5,2.4,0.0,0.0,0.0,0.0,0.0,1
mr_hollymod,5,4.8,0.0,0.0,0.0,0.0,0.0,1
jsniperton,14,4.29,50.0,0.0,0.0,21.4,0.0,1
ghostgits,6,2,0.0,0.0,16.7,50.0,0.0,1
ayyitschevy,27,4.78,0.0,7.75,0.0,7.4,0.0,1
fartinhaler69_,6,4,0.0,0.0,0.0,0.0,0.0,1
pixie_x0,8,7,0.0,0.0,12.5,0.0,0.0,1
fawcantv,13,17.15,0.0,0.0,0.0,7.7,46.2,3
butulkus,7,0.57,0.0,0.0,0.0,0.0,0.0,1
intelligent_iea,8,5,25.0,50.0,12.5,12.5,0.0,1
falloutplays,5,3.6,55.56,0.0,0.0,0.0,0.0,1
thancle,8,0.12,0.0,0.0,12.5,0.0,0.0,1
silentpete3184,6,6.67,0.0,0.0,0.0,0.0,0.0,1
ed0mer,30,7.37,0.0,0.0,0.0,23.3,100.0,2
sohu,20,2.4,0.0,41.67,10.0,25.0,95.0,2
carolinagamer99,21,3.67,12.99,12.99,0.0,0.0,0.0,1
cassel_de,24,0.5,0.0,0.0,4.2,0.0,0.0,1
cryptik7,15,2.27,0.0,0.0,0.0,33.3,93.3,3
themadbailaor,22,5.45,0.0,0.0,13.6,4.5,0.0,2
jeffrey_wong123,10,4.9,0.0,0.0,20.0,0.0,0.0,1
salsafrog,32,2,0.0,0.0,6.2,46.9,81.2,7
entropyfull,8,3.88,0.0,0.0,0.0,50.0,100.0,1
shaggy_lives_,5,12,16.67,0.0,20.0,0.0,0.0,1
ripvanwinkler,8,1.38,0.0,0.0,25.0,62.5,37.5,4
ursamario,5,2.2,0.0,0.0,0.0,0.0,0.0,1
laggy_eu,7,3.86,0.0,0.0,0.0,57.1,71.4,2
ttv_hondo,5,2.8,71.43,0.0,0.0,40.0,0.0,1
mcp0x,5,0,0.0,0.0,0.0,0.0,0.0,1
daft_gank,5,3.6,0.0,55.56,20.0,0.0,0.0,1
botleft41,8,1.25,0.0,0.0,0.0,25.0,100.0,1
thelividlion,12,11.42,51.09,0.0,0.0,8.3,0.0,1
haris82,6,5.67,29.41,0.0,16.7,0.0,83.3,2
jackripper2017,7,0,0.0,0.0,0.0,0.0,0.0,1
west4u2,22,6.14,14.81,7.41,13.6,9.1,0.0,2
rompystompy,8,9.12,13.7,0.0,50.0,12.5,0.0,1
brooksyn,9,1.56,71.43,0.0,0.0,33.3,88.9,6
fanofsalmon,13,6,12.82,0.0,0.0,15.4,100.0,3
spita__,5,19.6,0.0,0.0,0.0,20.0,100.0,1
sh0p0w1,5,9.2,0.0,0.0,0.0,80.0,80.0,4
destinynewsforyou,7,3.71,76.92,0.0,0.0,14.3,0.0,1
pikachuu,8,5.5,0.0,0.0,0.0,12.5,0.0,1
randers00,16,6.62,0.0,0.0,0.0,6.2,43.8,2
wtfgamenation,11,5.82,78.12,0.0,9.1,0.0,0.0,1
yooniversee,7,3.71,0.0,0.0,14.3,14.3,85.7,2
segurocarlos,9,4.44,25.0,0.0,0.0,0.0,0.0,2
tobi_667,6,4.5,0.0,0.0,16.7,0.0,0.0,1
ultravore,16,8.94,13.99,0.0,18.8,18.8,100.0,1
wolfinpdx,7,2.71,105.26,0.0,14.3,42.9,85.7,2
kotyara0401,5,0,0.0,0.0,20.0,20.0,0.0,1
alertbro,12,1.33,0.0,0.0,25.0,25.0,0.0,1
thunder993,5,5,80.0,0.0,0.0,20.0,0.0,2
n_o_n_e_,9,3.22,0.0,0.0,0.0,55.6,77.8,6
solya143,5,0,0.0,0.0,0.0,0.0,0.0,1
oxygenboy115,5,2,0.0,0.0,0.0,0.0,80.0,2
maddokawai,12,1.67,0.0,0.0,0.0,41.7,0.0,3
gr1mm_reaper1no,8,10.12,0.0,0.0,0.0,0.0,0.0,2
thomas_kigh,6,4,0.0,0.0,16.7,16.7,0.0,1
girr_squad,5,10.4,19.23,0.0,20.0,60.0,0.0,1
oves322,26,0.04,0.0,0.0,0.0,3.8,0.0,1
terroristwookiee,17,1.06,0.0,0.0,5.9,29.4,100.0,2
r17411n,17,2.71,21.74,0.0,0.0,11.8,100.0,1
thermicbasil,9,8.33,0.0,0.0,0.0,0.0,0.0,1
d3sti,9,2.33,0.0,0.0,0.0,44.4,100.0,4
melvindorkus,17,6.53,9.01,0.0,5.9,23.5,94.1,2
ttl_cashouttv,29,4.55,0.0,0.0,0.0,3.4,0.0,1
theshadock,21,1.29,0.0,0.0,0.0,23.8,76.2,3
lukasss_ttv,27,11.44,0.0,0.0,0.0,0.0,0.0,1
xerafimy,7,5.29,0.0,0.0,14.3,85.7,0.0,1
bloodtre,18,13.78,0.0,0.0,0.0,0.0,0.0,1
the_geovano,5,2.6,0.0,0.0,0.0,0.0,0.0,1
aggrometa,9,3.11,71.43,0.0,11.1,11.1,0.0,2
c_l_i_c_k,10,1.8,55.56,0.0,0.0,20.0,0.0,1
iownyouanyway,15,2.33,0.0,0.0,6.7,26.7,100.0,3
foreveralonehero,5,7.6,0.0,0.0,0.0,0.0,0.0,1
notklaw,9,5.67,0.0,0.0,11.1,0.0,0.0,1
subjugation,8,2,62.5,0.0,0.0,87.5,87.5,2
fellishbeast,5,3,66.67,0.0,0.0,20.0,80.0,3
kylatagadi,63,7.87,6.05,10.08,19.0,1.6,100.0,1
ruhuna_saglik_ruhsar,15,7.07,0.0,0.0,0.0,60.0,100.0,1
mrcqkma61,15,6.27,0.0,0.0,0.0,0.0,100.0,1
disphorex,5,7.4,0.0,0.0,0.0,0.0,100.0,1
curse_eminc,7,3.14,0.0,0.0,14.3,57.1,42.9,2
funcraft0,8,3.25,0.0,0.0,0.0,50.0,100.0,1
redds_dead,5,1.8,111.11,111.11,0.0,0.0,0.0,1
hahahahahahahahahahahaaa,8,2.75,0.0,0.0,0.0,0.0,100.0,1
sanimainen,6,14.83,0.0,0.0,0.0,33.3,100.0,1
justrussko,49,3.51,34.88,23.26,0.0,4.1,100.0,1
parabuteounicinctus,6,1.83,90.91,0.0,0.0,16.7,100.0,1
frostyggwp,25,3.72,0.0,32.26,0.0,16.0,100.0,1
opianx,6,2.83,0.0,0.0,0.0,0.0,100.0,1
miinato,28,4.64,0.0,0.0,0.0,3.6,100.0,2
bigluke575,13,1.46,0.0,0.0,7.7,7.7,0.0,1
sqlastic,6,5.17,0.0,0.0,0.0,16.7,100.0,1
volvagia,5,4.6,0.0,0.0,0.0,0.0,0.0,1
vardanmu,5,0,0.0,0.0,0.0,0.0,0.0,1
promet61,6,5,0.0,0.0,0.0,0.0,100.0,1
jokezorr,5,3.4,0.0,0.0,20.0,0.0,80.0,3
alusu_,19,5.11,10.31,0.0,0.0,42.1,100.0,3
classicdog0,5,2.8,71.43,0.0,0.0,0.0,0.0,2
dinksypoo,7,7.57,18.87,18.87,0.0,0.0,0.0,1
antonjy,11,2.18,0.0,0.0,0.0,36.4,100.0,1
boscrelead,6,9,0.0,0.0,0.0,33.3,100.0,1
vrnslam,13,11.31,0.0,0.0,0.0,15.4,100.0,1
fellfyre,6,2.33,71.43,0.0,16.7,0.0,100.0,1
foreverfiresnsd,9,2.78,0.0,0.0,11.1,33.3,100.0,1
robbinhood,17,5.06,0.0,0.0,5.9,47.1,94.1,4
brotherarman,6,1,166.67,0.0,0.0,50.0,100.0,2
vcenzolorenzo,5,2.4,0.0,0.0,0.0,0.0,100.0,2
asianjeff,23,19.35,31.46,0.0,4.3,13.0,0.0,1
varygoode,15,8.07,132.23,0.0,13.3,53.3,100.0,4
johnnykirisaki,6,2,0.0,0.0,0.0,50.0,100.0,2
etzbatschts,13,11.69,6.58,6.58,0.0,0.0,0.0,1
idontpoke,7,4.43,96.77,32.26,14.3,14.3,85.7,2
srpheaxx,8,4.88,0.0,25.64,0.0,0.0,100.0,1
odtsdog,18,4.11,0.0,0.0,0.0,16.7,100.0,2
ethovski1,7,3.71,0.0,0.0,0.0,28.6,100.0,1
sandbear_,7,0.86,0.0,0.0,14.3,42.9,100.0,3
puptime,5,5,0.0,0.0,0.0,0.0,100.0,2
vidanjor07,10,3.8,0.0,0.0,0.0,20.0,100.0,1
dugduo6,6,2.17,0.0,0.0,0.0,0.0,100.0,3
malafatcocktail,5,5.8,0.0,0.0,0.0,20.0,100.0,1
onetrickblackpanter,6,9.83,0.0,0.0,0.0,16.7,100.0,1
shark_bait14,6,2.5,0.0,0.0,0.0,16.7,100.0,2
agentfox25,9,8.67,12.82,0.0,11.1,22.2,100.0,4
zepzeygul,7,2.86,50.0,0.0,0.0,0.0,100.0,1
mustiraikkonen,7,5.14,0.0,0.0,0.0,85.7,0.0,1
inyans,12,4.58,18.18,0.0,0.0,25.0,0.0,1
terriblend,7,5.57,0.0,0.0,0.0,28.6,100.0,2
luminerr,10,1.6,62.5,0.0,0.0,40.0,100.0,1
undeniablepng,14,4.43,0.0,0.0,0.0,28.6,100.0,1
neojaron,5,14.2,0.0,0.0,0.0,0.0,0.0,1
yiu113,9,4.89,0.0,22.73,22.2,22.2,0.0,1
ninjustuuser,8,4.12,0.0,0.0,0.0,12.5,0.0,1
surfboard,8,3.75,0.0,0.0,37.5,37.5,87.5,4
kalesta,7,5.57,0.0,0.0,14.3,0.0,100.0,1
mushroomsushi,5,1.6,0.0,0.0,0.0,40.0,100.0,2
willitbe,5,5.2,38.46,38.46,0.0,40.0,0.0,2
link5261,5,9.8,0.0,0.0,40.0,0.0,0.0,1
slowburner421,6,3,55.56,0.0,16.7,0.0,0.0,1
ceeyhuntekin,12,4.17,0.0,0.0,0.0,8.3,100.0,1
bestliameu,7,20,0.0,0.0,14.3,71.4,100.0,2
olisikimingor,7,8,0.0,0.0,0.0,0.0,100.0,1
abrokenhanger,5,3.2,0.0,0.0,0.0,0.0,0.0,1
bosyapanhavuc,5,3.6,0.0,0.0,0.0,40.0,100.0,1
jmfs1989,7,8.57,16.67,0.0,57.1,0.0,0.0,1
the_hunk,13,3.62,0.0,21.28,0.0,23.1,15.4,2
gospodin200226,5,0,0.0,0.0,0.0,20.0,0.0,1
dan_0223,20,4.5,88.89,11.11,10.0,0.0,100.0,1
mattweil,7,8.43,16.95,0.0,0.0,14.3,0.0,1
pig_benis_,6,2,0.0,0.0,0.0,50.0,16.7,2
celwind,10,1.9,52.63,0.0,0.0,30.0,80.0,3
taranama,11,4.36,41.67,0.0,0.0,0.0,81.8,2
jamaalhung,5,2.8,0.0,71.43,0.0,0.0,80.0,2
darkrow_,9,4.67,47.62,0.0,0.0,11.1,0.0,1
junglist_soldier,5,4.4,0.0,0.0,0.0,20.0,80.0,2
stop_using_xd,5,1,0.0,0.0,0.0,60.0,60.0,4
kulaaid,5,8,25.0,0.0,20.0,0.0,0.0,1
archieaka,7,0,0.0,0.0,28.6,0.0,0.0,1
alsarenn,11,1,0.0,0.0,0.0,0.0,100.0,1
wondex1337,12,1.5,0.0,0.0,8.3,8.3,0.0,1
motorjam,8,4.62,0.0,0.0,0.0,37.5,0.0,2
lacazrie,10,1.7,0.0,0.0,10.0,40.0,0.0,2
mssbunnii,32,5.03,62.11,6.21,3.1,3.1,0.0,1
sekoates,6,4.17,0.0,0.0,0.0,66.7,100.0,1
marimari222,16,1.5,0.0,41.67,0.0,25.0,100.0,5
schnozzola,12,12.58,72.85,0.0,0.0,0.0,0.0,1
hierotitan_1,6,1.5,0.0,0.0,0.0,33.3,16.7,3
cosmic_glider,5,4.2,47.62,0.0,0.0,40.0,80.0,2
jamjacjoe,5,1.4,0.0,0.0,0.0,40.0,0.0,2
m0ment,5,1.6,0.0,0.0,0.0,100.0,60.0,2
foreverpercabeth,7,5.71,0.0,0.0,0.0,14.3,100.0,1
punchy06,8,4.12,30.3,0.0,25.0,0.0,100.0,1
trex6821,5,3.6,0.0,0.0,0.0,60.0,100.0,1
kukoldboy,8,0.25,0.0,0.0,25.0,62.5,0.0,1
khazixxx,8,3.88,0.0,0.0,12.5,50.0,0.0,1
sarcasticcon,8,5.62,0.0,0.0,0.0,50.0,100.0,2
pudees_,17,26.47,2.22,0.0,0.0,82.4,100.0,2
maxer_jax,5,3.2,62.5,0.0,20.0,40.0,0.0,1
hozien,6,0.83,0.0,0.0,0.0,16.7,100.0,1
ndrdgn,29,1.9,0.0,0.0,0.0,13.8,100.0,2
cs_g10,5,3.4,0.0,0.0,0.0,0.0,100.0,1
aldosimoncini,10,5.8,0.0,0.0,0.0,0.0,100.0,1
kastamonuefesi19,14,5.14,0.0,0.0,0.0,14.3,100.0,1
ajp1styles,15,3.27,0.0,0.0,0.0,0.0,100.0,1
srkadir,31,0.35,0.0,0.0,0.0,0.0,100.0,1
saltandvinegar,12,5.75,0.0,0.0,8.3,0.0,100.0,1
stussy_lol,12,2.67,0.0,0.0,8.3,0.0,100.0,1
razor0608,5,4.6,0.0,0.0,0.0,0.0,100.0,1
peteralexeevichkropotkin,5,3.6,0.0,0.0,20.0,0.0,100.0,1
omerkursat,7,5.14,0.0,0.0,0.0,0.0,100.0,1
erencan1638,8,4.12,0.0,0.0,0.0,0.0,100.0,1
foxalo,8,5.75,0.0,0.0,0.0,0.0,100.0,1
isayko,9,13.89,0.0,0.0,0.0,0.0,100.0,1
twiff_,15,4.93,0.0,0.0,0.0,0.0,100.0,1
senisevenkamyoncu,22,7.86,0.0,0.0,18.2,0.0,100.0,1
ricksanchez1212,11,3,0.0,0.0,0.0,0.0,100.0,1
witchk1ng,6,4.33,0.0,0.0,0.0,0.0,100.0,1
jahrebin,7,1.43,0.0,0.0,0.0,0.0,100.0,1
ucme,7,4.29,0.0,0.0,0.0,0.0,100.0,1
destinyisall_,7,7.43,19.23,0.0,0.0,0.0,0.0,1
kayadot,42,5.17,0.0,0.0,0.0,0.0,100.0,1
redturtles15,9,3.44,0.0,0.0,0.0,0.0,100.0,2
quaresma713,8,4,0.0,0.0,0.0,25.0,100.0,1
emrahnomad,8,5.25,0.0,0.0,0.0,0.0,100.0,1
barisdemirel_,12,3.33,25.0,0.0,0.0,8.3,100.0,1
mahsenlimehdi,6,5.33,0.0,0.0,16.7,33.3,100.0,1
klarsynthet,20,4.1,0.0,0.0,0.0,0.0,100.0,1
barut46,5,5,0.0,0.0,0.0,0.0,100.0,1
defakkarto,12,2.42,0.0,0.0,0.0,0.0,100.0,1
filkuyruk,6,5.17,0.0,0.0,0.0,0.0,100.0,1
cosmo1kramer,19,2.05,0.0,0.0,0.0,5.3,100.0,1
penguein,9,3.89,0.0,0.0,0.0,0.0,100.0,1
knightmarefart,6,3.17,0.0,0.0,0.0,0.0,0.0,1
hyperionxu,7,4.14,0.0,0.0,0.0,42.9,100.0,1
kingo_disco_,8,6,0.0,0.0,0.0,0.0,100.0,1
darthtormentth,6,4,0.0,0.0,16.7,0.0,100.0,1
furkanaritmis,17,3.29,0.0,0.0,0.0,0.0,100.0,1
strangeagle,5,2.6,0.0,0.0,0.0,0.0,100.0,1
artyomthebravest,11,3.36,0.0,0.0,9.1,18.2,100.0,1
reptilector,18,1.89,29.41,29.41,0.0,0.0,0.0,1
ggitwasmesmile,5,6.4,62.5,0.0,40.0,0.0,0.0,1
tylerdudemalafaka,16,10.75,0.0,0.0,12.5,0.0,100.0,1
gereksizbirsoru,9,6.11,0.0,0.0,0.0,0.0,100.0,1
kocayusuf14,9,3.33,0.0,0.0,0.0,88.9,100.0,1
aiopuc66,5,4,0.0,0.0,0.0,0.0,100.0,1
sessizbaho,6,5.83,0.0,0.0,33.3,50.0,100.0,1
akslepiosa,7,7.57,0.0,0.0,0.0,0.0,100.0,1
daisylol,11,6.27,0.0,0.0,9.1,0.0,100.0,1
qdnz,5,1.6,0.0,0.0,0.0,0.0,100.0,1
risayyavuz,8,4.75,0.0,0.0,12.5,0.0,100.0,2
chimeranexus,8,4.25,29.41,0.0,0.0,0.0,100.0,1
fatih_genc,8,2.88,0.0,0.0,0.0,12.5,100.0,1
leenazski,7,6.43,0.0,0.0,0.0,0.0,100.0,1
mnalover,6,2.5,0.0,0.0,0.0,33.3,66.7,3
turquoitto,6,3.17,0.0,0.0,16.7,0.0,100.0,1
10ffurkan,6,5,0.0,0.0,0.0,16.7,100.0,1
fistingcisahap,6,5,0.0,0.0,0.0,0.0,100.0,1
thebunnyslayer7,5,3.8,0.0,0.0,0.0,0.0,100.0,1
huysa_,6,2.5,0.0,0.0,0.0,33.3,100.0,1
proper17,11,5.36,0.0,0.0,9.1,0.0,100.0,1
rahmelii,6,2.5,0.0,0.0,0.0,0.0,100.0,1
trymgh,11,1.18,0.0,0.0,0.0,36.4,72.7,3
brazydeadbank,7,4.71,30.3,0.0,0.0,0.0,0.0,1
fecifaka,6,5.5,0.0,0.0,16.7,0.0,100.0,1
pitchfork_,9,2,0.0,0.0,0.0,55.6,11.1,2
eleminy,5,4.6,0.0,0.0,20.0,0.0,100.0,1
earl2thedome,5,19.6,10.2,0.0,0.0,0.0,100.0,2
elnino782,6,4.5,0.0,0.0,0.0,0.0,100.0,1
hangia,7,2.57,0.0,0.0,14.3,28.6,100.0,4
tri_tm,5,35.2,0.0,0.0,0.0,80.0,100.0,2
thanefo,5,4.2,47.62,0.0,0.0,0.0,0.0,1
bitsnoxx,15,16.8,0.0,0.0,0.0,53.3,100.0,2
aimew,8,5,0.0,0.0,0.0,37.5,100.0,1
gremble,9,3.11,0.0,35.71,0.0,22.2,88.9,3
xcreampieex,5,5.8,0.0,0.0,0.0,20.0,100.0,1
toastedbreade,11,2.18,0.0,0.0,9.1,18.2,100.0,4
pinvin_,5,5.2,0.0,0.0,0.0,0.0,100.0,3
ddqq,7,3.86,0.0,0.0,0.0,0.0,0.0,1
sirdogukanaslan,6,3.33,0.0,0.0,16.7,0.0,100.0,1
cuteoldcouple,7,14.86,0.0,0.0,14.3,57.1,100.0,3
gridironh3ro2,6,5.5,0.0,0.0,0.0,33.3,66.7,3
johnkilo3,14,3.64,0.0,0.0,0.0,42.9,100.0,1
brotha_lynch,5,2.2,90.91,0.0,0.0,80.0,100.0,1
bxhaze87,18,1.83,90.91,0.0,0.0,66.7,0.0,1
ryan_white,9,3.56,62.5,0.0,0.0,0.0,100.0,1
yungpapi,7,3,0.0,0.0,0.0,42.9,14.3,2
megaskeletor,17,3.82,46.15,15.38,0.0,41.2,100.0,1
captain_kidney,8,3.12,0.0,0.0,0.0,0.0,100.0,1
sjvm1123,6,4,0.0,0.0,0.0,0.0,100.0,1
greenpossum,9,8.22,67.57,13.51,0.0,11.1,100.0,1
derplord9000,7,4,0.0,0.0,0.0,14.3,100.0,1
redeemeer,7,4.43,0.0,32.26,28.6,0.0,100.0,1
otis____,13,3.38,0.0,0.0,0.0,0.0,100.0,1
mrzuben,6,3.33,100.0,50.0,0.0,16.7,100.0,1
captaink1rk55,5,1.4,0.0,0.0,0.0,20.0,100.0,1
endlessnameless0,8,1.25,100.0,0.0,0.0,37.5,100.0,1
shaggy510,7,2.43,0.0,0.0,0.0,42.9,100.0,1
farmermanbill,5,1.6,0.0,0.0,0.0,20.0,100.0,2
wildwayne,20,2.55,39.22,0.0,15.0,50.0,100.0,1
wasabiroll,5,5.8,0.0,0.0,0.0,0.0,100.0,4
n00ber,5,3.2,0.0,0.0,0.0,60.0,100.0,1
dwhitewidow,19,2.58,40.82,0.0,0.0,42.1,100.0,1
deadeyegnome,5,1.4,0.0,0.0,0.0,40.0,100.0,1
stabbindragon,9,3.11,0.0,0.0,0.0,33.3,100.0,1
jakevsall,14,4.64,0.0,15.38,0.0,28.6,50.0,4
reomurphy,5,1.8,0.0,0.0,0.0,20.0,100.0,2
tomahawk,7,2.86,50.0,0.0,14.3,0.0,100.0,1
wanderingskull,9,3.44,32.26,0.0,0.0,22.2,100.0,1
vlomp,5,1.6,0.0,0.0,0.0,20.0,20.0,2
savage0ne,14,3.36,127.66,0.0,14.3,42.9,100.0,1
chrisindc,6,3.33,50.0,0.0,16.7,16.7,100.0,1
northernmongo,5,2.4,0.0,0.0,20.0,0.0,100.0,1
elgenki,6,4.83,0.0,0.0,16.7,16.7,100.0,1
rubinvd,10,2.8,0.0,0.0,0.0,20.0,100.0,7
dagishta,17,3.41,0.0,17.24,0.0,29.4,100.0,1
reverend_phil,9,4.89,22.73,0.0,33.3,0.0,100.0,1
mrroboyak,7,3.43,41.67,0.0,0.0,14.3,100.0,1
mitonera,5,5.6,35.71,0.0,20.0,40.0,100.0,1
dalkanar,13,3.31,0.0,46.51,0.0,23.1,100.0,1
bloodysindrome,5,1.4,0.0,0.0,0.0,20.0,100.0,1
sweet_giirl,5,1.2,0.0,0.0,0.0,60.0,100.0,1
saintbash,8,5.38,0.0,0.0,0.0,25.0,87.5,2
merssene557,6,1,166.67,0.0,0.0,66.7,33.3,4
zigarot,10,5.7,35.09,17.54,10.0,0.0,100.0,1
coltronic,8,3,83.33,125.0,0.0,50.0,100.0,1
captainraykin,6,7.33,0.0,0.0,33.3,16.7,100.0,1
moredin,6,2.67,62.5,0.0,16.7,50.0,100.0,1
h82talk,7,3.86,37.04,37.04,0.0,0.0,100.0,1
veinbe,5,4.4,0.0,45.45,0.0,0.0,100.0,3
nerouvs,6,3.33,0.0,50.0,16.7,50.0,0.0,2
ryphos,10,3.9,51.28,25.64,10.0,50.0,100.0,1
r2_d26,11,7.73,23.53,23.53,0.0,0.0,0.0,1
taitycakes,9,3.22,68.97,0.0,0.0,0.0,100.0,1
duvfy,6,3.83,43.48,0.0,16.7,33.3,100.0,1
spookyrandi,7,2.29,125.0,0.0,0.0,28.6,100.0,1
kerzi_x,9,1.22,90.91,0.0,0.0,33.3,100.0,1
turbantaj,13,2.54,0.0,0.0,0.0,30.8,92.3,3
audio34,13,5.46,14.08,0.0,15.4,0.0,100.0,4
oscarm1919,5,2.8,0.0,0.0,0.0,20.0,100.0,1
tastytv,5,3.8,105.26,0.0,0.0,20.0,100.0,1
affectus3,5,3,0.0,0.0,0.0,0.0,100.0,1
fluffythewaffle,5,1,0.0,0.0,0.0,0.0,100.0,1
jimmyjongos,11,4.55,20.0,20.0,9.1,36.4,81.8,3
kaiochi,8,3.88,0.0,0.0,0.0,25.0,0.0,2
seppal09,6,3.17,0.0,0.0,16.7,0.0,16.7,3
registeredlooser,6,2,0.0,0.0,33.3,0.0,100.0,1
pumpedbanana,6,2.5,0.0,0.0,33.3,16.7,100.0,2
maze_misty,5,2.8,71.43,0.0,0.0,0.0,0.0,1
carlpoppa7188,5,6.8,0.0,0.0,0.0,0.0,100.0,1
jmac116,5,3.4,0.0,0.0,0.0,0.0,100.0,1
novacroww,5,1.2,0.0,0.0,0.0,80.0,100.0,1
truzgarefe,9,2.56,0.0,0.0,0.0,33.3,100.0,1
nihil_ic,5,2.4,0.0,0.0,0.0,0.0,20.0,2
uncleworry,8,9.12,0.0,0.0,25.0,0.0,0.0,1
sirbrocktherock,15,2.87,0.0,0.0,0.0,6.7,100.0,6
tigerspec,16,1.69,148.15,0.0,0.0,43.8,100.0,1
tomwyr_,5,2,0.0,0.0,0.0,40.0,0.0,1
crazymariann,11,1,0.0,0.0,0.0,45.5,100.0,1
ghosttiger,8,2.5,50.0,0.0,0.0,25.0,100.0,1
sensesdeprived,6,3,55.56,0.0,0.0,66.7,100.0,1
fish_sauce,6,1.5,0.0,0.0,0.0,50.0,66.7,4
zximpactxz,6,0.83,0.0,0.0,0.0,66.7,100.0,1
lowery_,5,1,0.0,0.0,0.0,60.0,100.0,1
kalpazansuat,7,6.43,0.0,0.0,0.0,14.3,100.0,1
apporto,11,1,0.0,0.0,0.0,18.2,45.5,6
justrhyn,9,3.11,107.14,0.0,0.0,0.0,100.0,1
letoucanepikmaymay,6,2.5,0.0,66.67,0.0,0.0,83.3,4
devklokz,7,2.14,0.0,0.0,0.0,14.3,28.6,3
liana_s,10,3.4,117.65,0.0,0.0,10.0,100.0,1
hfryde,5,4.6,43.48,0.0,40.0,0.0,100.0,2
hdo4ever,6,5.83,0.0,28.57,0.0,0.0,100.0,1
phenomenallyfantastic,6,5.83,28.57,0.0,16.7,16.7,100.0,1
captainbilldog,5,3.8,0.0,0.0,0.0,0.0,100.0,1
jeydiibii,13,5.08,0.0,0.0,0.0,15.4,0.0,1
ruxis,6,6.33,26.32,0.0,0.0,0.0,0.0,1
gauss_8,5,1.2,0.0,0.0,0.0,0.0,80.0,4
realrichardbluetwig,5,1.8,111.11,0.0,0.0,0.0,100.0,1
tracedout,17,6.24,0.0,0.0,11.8,11.8,0.0,1
pennyjenny,25,4.92,16.26,8.13,4.0,32.0,0.0,1
melissavolont,20,5,10.0,10.0,10.0,25.0,0.0,1
kaliforniasleep,8,4.62,0.0,0.0,0.0,12.5,0.0,1
cat92,5,1.2,0.0,0.0,0.0,0.0,0.0,1
basmoran,13,10.69,7.19,14.39,15.4,7.7,0.0,1
anaryaa_,14,3.57,0.0,20.0,7.1,7.1,0.0,1
fakesemaj,70,10.64,0.0,0.0,11.4,1.4,0.0,1
auxrilla,6,2.83,117.65,0.0,0.0,33.3,100.0,1
brorahm,5,6,0.0,0.0,0.0,0.0,100.0,2
ominouschakra,5,3.8,0.0,0.0,0.0,60.0,100.0,1
kamapuaa,9,2.67,0.0,0.0,0.0,44.4,66.7,4
spillylive,6,2.33,0.0,0.0,0.0,33.3,100.0,1
infinite_9,5,6,0.0,0.0,0.0,40.0,100.0,1
rhythmblue,7,3.14,0.0,0.0,0.0,14.3,0.0,3
host_mod,61,3.9,46.22,4.2,9.8,3.3,100.0,1
kroniikx,6,2,0.0,83.33,0.0,33.3,66.7,3
h3lladvocate,6,1.83,0.0,0.0,0.0,0.0,0.0,1
biggerdangdude,6,4.17,0.0,0.0,0.0,66.7,0.0,1
icecalibuz,6,7,47.62,0.0,0.0,16.7,0.0,1
shinigami420,5,1,0.0,0.0,0.0,40.0,100.0,2
chrono945,6,2.83,58.82,0.0,0.0,33.3,33.3,3
808mate,6,4.33,0.0,0.0,0.0,0.0,100.0,1
gamertagraylon,6,7.33,45.45,0.0,16.7,0.0,0.0,1
itstbak,9,6.56,0.0,0.0,0.0,11.1,0.0,1
kaceytronswhiteknight,5,3.8,0.0,0.0,0.0,60.0,0.0,2
